time,temperature,humidity
2025-01-25 16:01:08,31.20,51.10
2025-01-25 16:01:12,31.20,51.00
2025-01-25 16:01:15,31.20,51.00
2025-01-25 16:01:18,31.20,51.00
2025-01-25 16:01:21,31.20,50.90
2025-01-25 16:01:25,31.20,51.00
2025-01-25 16:01:28,31.20,51.40
2025-01-25 16:01:31,31.20,51.50
2025-01-25 16:01:35,31.20,51.30
2025-01-25 16:01:38,31.20,51.20
2025-01-25 16:01:41,31.20,51.30
2025-01-25 16:01:45,31.20,51.30
2025-01-25 16:01:48,31.20,51.70
2025-01-25 16:01:51,31.20,51.50
2025-01-25 16:01:54,31.20,51.30
2025-01-25 16:01:58,31.20,51.30
2025-01-25 16:02:01,31.20,51.60
2025-01-25 16:02:04,31.20,51.70
2025-01-25 16:02:07,31.20,51.60
2025-01-25 16:02:11,31.20,51.50
2025-01-25 16:02:14,31.20,51.30
2025-01-25 16:02:17,31.20,51.20
2025-01-25 16:02:21,31.20,51.20
2025-01-25 16:02:24,31.20,51.20
2025-01-25 16:02:27,31.20,51.10
2025-01-25 16:02:30,31.20,51.30
2025-01-25 16:02:34,31.20,51.70
2025-01-25 16:02:37,31.20,51.70
2025-01-25 16:02:40,31.20,51.80
2025-01-25 16:02:44,31.20,52.50
2025-01-25 16:02:47,31.20,55.70
2025-01-25 16:02:50,31.20,58.50
2025-01-25 16:02:54,31.50,58.30
2025-01-25 16:02:57,31.50,57.40
2025-01-25 16:03:00,31.50,56.50
2025-01-25 16:03:03,31.60,56.30
2025-01-25 16:03:07,31.60,56.20
2025-01-25 16:03:10,31.60,59.10
2025-01-25 16:03:13,31.60,62.40
2025-01-25 16:03:17,31.60,61.90
2025-01-25 16:03:20,31.60,61.80
2025-01-25 16:03:23,31.60,62.70
2025-01-25 16:03:26,31.90,64.80
2025-01-25 16:03:30,32.00,65.10
2025-01-25 16:03:33,32.00,63.60
2025-01-25 16:03:36,32.00,67.40
2025-01-25 16:03:39,32.00,70.30
2025-01-25 16:03:43,32.10,73.00
2025-01-25 16:03:46,32.20,73.90
2025-01-25 16:03:49,32.20,71.70
2025-01-25 16:03:53,32.20,69.10
2025-01-25 16:03:56,32.20,67.10
2025-01-25 16:03:59,32.10,64.70
2025-01-25 16:04:02,32.10,62.20
2025-01-25 16:04:06,32.10,59.80
2025-01-25 16:04:09,32.00,58.00
2025-01-25 16:04:12,32.00,56.70
2025-01-25 16:04:16,32.00,55.90
